indice_tiempo,ipc_chaco_historico_ng
1960-01-01,1.163225e-11
1960-02-01,1.1633059200000001e-11
1960-03-01,1.1819984400000002e-11
1960-04-01,1.1819984400000002e-11
1960-05-01,1.17884256e-11
1960-06-01,1.17261172e-11
1960-07-01,1.1819984400000002e-11
1960-08-01,1.18822928e-11
1960-09-01,1.19130424e-11
1960-10-01,1.2006909600000002e-11
1960-11-01,1.2287702e-11
1960-12-01,1.34416212e-11
1961-01-01,1.2599244e-11
1961-02-01,1.27554196e-11
1961-03-01,1.2911595200000002e-11
1961-04-01,1.31923876e-11
1961-05-01,1.3285445600000001e-11
1961-06-01,1.3472370800000002e-11
1961-07-01,1.36601052e-11
1961-08-01,1.3784722e-11
1961-09-01,1.3909338800000002e-11
1961-10-01,1.3940897600000002e-11
1961-11-01,1.4377056400000002e-11
1961-12-01,1.56248428e-11
1962-01-01,1.7433404800000002e-11
1962-02-01,1.76518888e-11
1962-03-01,1.7838814e-11
1962-04-01,1.8462707200000002e-11
1962-05-01,1.91804676e-11
1962-06-01,1.98351104e-11
1962-07-01,2.0459003600000003e-11
1962-08-01,2.0926721200000003e-11
1962-09-01,2.1488306e-11
1962-10-01,2.16129228e-11
1962-11-01,2.1488306e-11
1962-12-01,2.1581364000000004e-11
1963-01-01,2.2486049600000002e-11
1963-02-01,2.25167992e-11
1963-03-01,2.2985326000000003e-11
1963-04-01,2.33284268e-11
1963-05-01,2.37645856e-11
1963-06-01,2.40769368e-11
1963-07-01,2.4544654400000002e-11
1963-08-01,2.4793888e-11
1963-09-01,2.55108392e-11
1963-10-01,2.5667014800000002e-11
1963-11-01,2.5853940000000003e-11
1963-12-01,2.61347324e-11
1964-01-01,2.8224896000000003e-11
1964-02-01,2.8474129600000002e-11
1964-03-01,2.8536438000000004e-11
1964-04-01,2.9721916e-11
1964-05-01,3.08442764e-11
1964-06-01,3.16550948e-11
1964-07-01,3.22474292e-11
1964-08-01,3.2435163600000006e-11
1964-09-01,3.2715956e-11
1964-10-01,3.26843972e-11
1964-11-01,3.333904e-11
1964-12-01,3.52107196e-11
1965-01-01,3.5459953200000005e-11
1965-02-01,3.64269472e-11
1965-03-01,3.67384892e-11
1965-04-01,3.88909612e-11
1965-05-01,3.9451736800000004e-11
1965-06-01,3.53037776e-11
1965-07-01,4.225885160000001e-11
1965-08-01,4.31635372e-11
1965-09-01,4.36935632e-11
1965-10-01,4.6282194e-11
1965-11-01,4.7030704000000004e-11
1965-12-01,4.9463159200000004e-11
1966-01-01,4.9930876800000004e-11
1966-02-01,5.11163548e-11
1966-03-01,5.17086892e-11
1966-04-01,5.401652760000001e-11
1966-05-01,5.54204896e-11
1966-06-01,5.766601960000001e-11
1966-07-01,5.96307572e-11
1966-08-01,5.93499648e-11
1966-09-01,5.94122732e-11
1966-10-01,6.103391e-11
1966-11-01,6.18762872e-11
1966-12-01,6.33417484e-11
1967-01-01,6.43710508e-11
1967-02-01,6.56188372e-11
1967-03-01,6.624273040000001e-11
1967-04-01,6.798898400000001e-11
1967-05-01,6.87682436e-11
1967-06-01,7.017220560000001e-11
1967-07-01,7.08584072e-11
1967-08-01,7.13261248e-11
1967-09-01,7.3540096e-11
1967-10-01,7.28538944e-11
1967-11-01,7.35716548e-11
1967-12-01,7.51932916e-11
1968-01-01,7.61602856e-11
1968-02-01,7.6534136e-11
1968-03-01,7.66280032e-11
1968-04-01,7.622340320000001e-11
1968-05-01,7.722033760000001e-11
1968-06-01,7.622259400000001e-11
1968-07-01,7.58794932e-11
1968-08-01,7.57233176e-11
1968-09-01,7.58794932e-11
1968-10-01,7.650338640000001e-11
1968-11-01,7.74072628e-11
1968-12-01,7.812502320000002e-11
1969-01-01,7.768805520000001e-11
1969-02-01,7.809346440000001e-11
1969-03-01,7.843656520000001e-11
1969-04-01,7.824964e-11
1969-05-01,7.87173576e-11
1969-06-01,7.9309692e-11
1969-07-01,7.97159104e-11
1969-08-01,7.98712768e-11
1969-09-01,8.12129304e-11
1969-10-01,8.19298816e-11
1969-11-01,8.2303732e-11
1969-12-01,8.314610920000001e-11
1970-01-01,8.3707694e-11
1970-02-01,8.426927880000001e-11
1970-03-01,8.47054376e-11
1970-04-01,8.508009720000001e-11
1970-05-01,8.56408728e-11
1970-06-01,8.857260440000001e-11
1970-07-01,8.9914258e-11
1970-08-01,9.14735864e-11
1970-09-01,1.0045570640000001e-10
1970-10-01,1.0114190800000001e-10
1970-11-01,1.0457210680000001e-10
1970-12-01,1.048528992e-10
1971-01-01,1.1274340840000002e-10
1971-02-01,1.1586206520000002e-10
1971-03-01,1.190745892e-10
1971-04-01,1.213508688e-10
1971-05-01,1.244072172e-10
1971-06-01,1.2852442680000002e-10
1971-07-01,1.357602932e-10
1971-08-01,1.4399390320000002e-10
1971-09-01,1.477987616e-10
1971-10-01,1.487649464e-10
1971-11-01,1.5462840960000003e-10
1971-12-01,1.58870236e-10
1972-01-01,1.7181339e-10
1972-02-01,1.91367708e-10
1972-03-01,1.979796812e-10
1972-04-01,2.098935328e-10
1972-05-01,2.1847024360000002e-10
1972-06-01,2.2554993440000003e-10
1972-07-01,2.45353486e-10
1972-08-01,2.494706956e-10
1972-09-01,2.5118619960000003e-10
1972-10-01,2.650016712e-10
1972-11-01,2.716759528e-10
1972-12-01,2.7485772720000003e-10
1973-01-01,2.985915632e-10
1973-02-01,3.1668042e-10
1973-03-01,3.29498148e-10
1973-04-01,3.510180128e-10
1973-05-01,3.7253787760000003e-10
1973-06-01,3.33677666e-10
1973-07-01,3.348000264e-10
1973-08-01,3.46932362e-10
1973-09-01,3.5582061480000005e-10
1973-10-01,3.5928237240000006e-10
1973-11-01,3.6336802320000003e-10
1973-12-01,3.6361806600000004e-10
1974-01-01,3.6480354400000005e-10
1974-02-01,3.74473484e-10
1974-03-01,3.75315052e-10
1974-04-01,3.8005696400000006e-10
1974-05-01,3.8308337200000004e-10
1974-06-01,4.037908e-10
1974-07-01,4.1750674000000005e-10
1974-08-01,4.3946842800000003e-10
1974-09-01,4.42397732e-10
1974-10-01,4.660992e-10
1974-11-01,4.80292568e-10
1974-12-01,5.10702304e-10
1975-01-01,5.6777518e-10
1975-02-01,6.27526508e-10
1975-03-01,6.947386599999999e-10
1975-04-01,7.14386036e-10
1975-05-01,7.409601640000001e-10
1975-06-01,9.70748688e-10
1975-07-01,1.357101228e-09
1975-08-01,1.5757632520000002e-09
1975-09-01,1.6883796160000001e-09
1975-10-01,1.93847906e-09
1975-11-01,2.16817048e-09
1975-12-01,2.730710136e-09
1976-01-01,2.9464590400000005e-09
1976-02-01,4.02560816e-09
1976-03-01,5.54884624e-09
1976-04-01,6.735942640000001e-09
1976-05-01,7.368251520000001e-09
1976-06-01,7.71766408e-09
1976-07-01,8.720748400000001e-10
1976-08-01,1.014793444e-08
1976-09-01,1.0911414640000002e-08
1976-10-01,1.1301610880000001e-08
1976-11-01,1.219958012e-08
1976-12-01,1.30135544e-08
1977-01-01,1.4055804e-08
1977-02-01,1.561756e-08
1977-03-01,1.6832169200000002e-08
1977-04-01,1.7628422000000003e-08
1977-05-01,1.81956712e-08
1977-06-01,1.93204592e-08
1977-07-01,2.1626679200000003e-08
1977-08-01,2.31641592e-08
1977-09-01,2.45252336e-08
1977-10-01,2.83478944e-08
1977-11-01,3.119466e-08
1977-12-01,3.35324388e-08
1978-01-01,3.85753732e-08
1978-02-01,4.1829166400000004e-08
1978-03-01,4.48806596e-08
1978-04-01,4.9906600799999997e-08
1978-05-01,5.318790680000001e-08
1978-06-01,5.75130808e-08
1978-07-01,6.06730068e-08
1978-08-01,6.45717324e-08
1978-09-01,6.970448800000001e-08
1978-10-01,7.63828156e-08
1978-11-01,8.29373356e-08
1978-12-01,8.8109742e-08
1979-01-01,9.922086720000001e-08
1979-02-01,1.0875648e-07
1979-03-01,1.1733480920000001e-07
1979-04-01,1.2335930320000002e-07
1979-05-01,1.331757084e-07
1979-06-01,1.4606950120000002e-07
1979-07-01,1.551527712e-07
1979-08-01,1.804248964e-07
1979-09-01,1.945211604e-07
1979-10-01,2.0415468640000002e-07
1979-11-01,2.1190844080000002e-07
1979-12-01,2.243490816e-07
1980-01-01,2.3109942800000004e-07
1980-02-01,2.4793888e-07
1980-03-01,2.61662912e-07
1980-04-01,2.7445636400000003e-07
1980-05-01,2.85679968e-07
1980-06-01,3.0314250400000003e-07
1980-07-01,3.1780520800000005e-07
1980-08-01,3.2559780400000003e-07
1980-09-01,3.4119108800000003e-07
1980-10-01,3.6895474e-07
1980-11-01,3.8485552e-07
1980-12-01,3.9982572000000004e-07
1981-01-01,4.0544156800000003e-07
1981-02-01,4.3568946399999997e-07
1981-03-01,4.5534493200000005e-07
1981-04-01,4.96508936e-07
1981-05-01,5.39234696e-07
1981-06-01,6.16270536e-07
1981-07-01,6.83943932e-07
1981-08-01,7.41647984e-07
1981-09-01,7.95597348e-07
1981-10-01,8.458163000000001e-07
1981-11-01,9.240902160000002e-07
1981-12-01,9.821017640000001e-07
1982-01-01,1.065376536e-06
1982-02-01,1.1517667280000001e-06
1982-03-01,1.2141398640000001e-06
1982-04-01,1.263420144e-06
1982-05-01,1.31175366e-06
1982-06-01,1.4895268080000001e-06
1982-07-01,1.76741418e-06
1982-08-01,2.04217804e-06
1982-09-01,2.388046304e-06
1982-10-01,2.7888106960000006e-06
1982-11-01,3.0295800640000003e-06
1982-12-01,3.2357318560000006e-06
1983-01-01,3.657389792e-06
1983-02-01,4.139551612e-06
1983-03-01,4.5646405560000005e-06
1983-04-01,5.062711248000001e-06
1983-05-01,5.592276004e-06
1983-06-01,6.69196262e-06
1983-07-01,7.536832156e-06
1983-08-01,9.017004612000001e-06
1983-09-01,1.0977785224000002e-05
1983-10-01,1.2733029036e-05
1983-11-01,1.5581413036000003e-05
1983-12-01,1.7564948352e-05
1984-01-01,2.00718014e-05
1984-02-01,2.2885308880000003e-05
1984-03-01,2.7575270240000004e-05
1984-04-01,3.291963164e-05
1984-05-01,3.78507346e-05
1984-06-01,4.466929656e-05
1984-07-01,5.2282897519999997e-05
1984-08-01,6.31511818e-05
1984-09-01,8.010796780000001e-05
1984-10-01,9.605616692000001e-05
1984-11-01,0.00010900684648
1984-12-01,0.00012603597496
1985-01-01,0.00016274711320000002
1985-02-01,0.00019386069136
1985-03-01,0.00023954359184000002
1985-04-01,0.00030340120524000003
1985-05-01,0.00037921928016
1985-06-01,0.00048549564308
1985-07-01,0.00048972686896
1985-08-01,0.00051497552736
1985-09-01,0.0005198105782800001
1985-10-01,0.0005276980125200001
1985-11-01,0.0005330151848
1985-12-01,0.0005549856930800001
1986-01-01,0.00056284132576
1986-02-01,0.00058961880572
1986-03-01,0.0006140095502800001
1986-04-01,0.0006586669516
1986-05-01,0.00068612747728
1986-06-01,0.0007075737858000001
1986-07-01,0.00075391440404
1986-08-01,0.00083095631304
1986-09-01,0.00087688933724
1986-10-01,0.00092745843008
1986-11-01,0.0009727892476400001
1986-12-01,0.00103887984844
1987-01-01,0.00109668982472
1987-02-01,0.00119140085848
1987-03-01,0.00126426357316
1987-04-01,0.00129580529904
